title,sentence
baked-sheet-pan-meatballs-with-vegetables,dampen your hands with some water and form golf ball - sized meatballs .
baked-sheet-pan-meatballs-with-vegetables,preheat the oven to 200 ° c/390 ° f .
baked-sheet-pan-meatballs-with-vegetables,"wash and deseed bell peppers , then slice both into strips ."
baked-sheet-pan-meatballs-with-vegetables,cut each red onion into 8 parts .
baked-sheet-pan-meatballs-with-vegetables,"combine bell peppers , onions , and chickpeas in a bowl , then add remaining harissa paste , olive oil , salt , and pepper ."
baked-sheet-pan-meatballs-with-vegetables,stir to combine .
baked-sheet-pan-meatballs-with-vegetables,spread the vegetables on a baking sheet and bake for approx . 10 min .
baked-sheet-pan-meatballs-with-vegetables,"after 10 min . , scatter the meatballs on top of vegetables and bake for approx . 15 – 20 min . more ."
baked-sheet-pan-meatballs-with-vegetables,"meanwhile , dice feta cheese ."
baked-sheet-pan-meatballs-with-vegetables,roughly chop mint .
baked-sheet-pan-meatballs-with-vegetables,"combine feta , mint , and remaining olive oil in a bowl ."
baked-sheet-pan-meatballs-with-vegetables,add feta - mint mix to the meatballs before serving .
baked-sheet-pan-meatballs-with-vegetables,enjoy !
baked-spaghetti-bolognese,"cook spaghetti in salted , boiling water according to package instructions , until al dente ."
baked-spaghetti-bolognese,drain and set aside .
baked-spaghetti-bolognese,"meanwhile , preheat the oven to 160 ° c/320 ° f ."
baked-spaghetti-bolognese,"cut shallots , garlic , tomatoes , mushrooms and carrot into fine cubes ."
baked-spaghetti-bolognese,"sauté the diced shallots , garlic , mushrooms , and carrot in vegetable oil for approx . 3 - 5 min ."
baked-spaghetti-bolognese,"next , add tomatoes and sauté for an additional 3 min ."
baked-spaghetti-bolognese,season the vegetables lightly with salt and pepper .
baked-spaghetti-bolognese,add tomato paste and sauté as well .
baked-spaghetti-bolognese,pour in pureed tomatoes and reduce to low heat for approx . 10 min .
baked-spaghetti-bolognese,"in another pan , sear ground beef with some vegetable oil ."
baked-spaghetti-bolognese,season with salt and pepper .
baked-spaghetti-bolognese,as soon as the meat has browned add it to the vegetables and bring to a gentle boil .
baked-spaghetti-bolognese,"season the sauce with oregano , sugar , salt , and pepper ."
baked-spaghetti-bolognese,"next , cut fresh basil into strips and fold into the sauce ."
baked-spaghetti-bolognese,put the spaghetti into a casserole dish and pour the sauce on top .
baked-spaghetti-bolognese,mix slightly and sprinkle with grated parmesan .
baked-spaghetti-bolognese,bake in a preheated oven at 160 ° c/320 ° f for approx . 7 min .
baked-spaghetti-bolognese,serve warm from the casserole dish .
baked-vanilla-pudding-with-hot-raspberries,preheat oven to 110 ° c/230 ° f .
baked-vanilla-pudding-with-hot-raspberries,"add milk , heavy cream , a third of the sugar , the seeds of one vanilla bean , and a small pinch of salt to a saucepan ."
baked-vanilla-pudding-with-hot-raspberries,bring mixture to a slight boil .
baked-vanilla-pudding-with-hot-raspberries,"whisk together egg yolks , egg , and another third of the sugar ."
baked-vanilla-pudding-with-hot-raspberries,"now , add the hot milk mixture to the beaten egg mixture ."
baked-vanilla-pudding-with-hot-raspberries,whisk vigorously until everything is well combined .
baked-vanilla-pudding-with-hot-raspberries,work quickly to prevent lumps .
baked-vanilla-pudding-with-hot-raspberries,transfer the mixture into baking tins and bake in a preheated oven at 110 ° c/230 ° f for approx . 40 – 45 min . until fully set .
baked-vanilla-pudding-with-hot-raspberries,"then , remove from oven and let cool ."
baked-vanilla-pudding-with-hot-raspberries,"before serving , prepare the sauce ."
baked-vanilla-pudding-with-hot-raspberries,"add red wine , raspberry brandy , the remaining sugar , and a cinnamon stick to a saucepan ."
baked-vanilla-pudding-with-hot-raspberries,bring everything to a boil and let simmer until the sugar has fully dissolved .
baked-vanilla-pudding-with-hot-raspberries,"then , add the raspberries and let them sit in the hot mixture for approx . 10 min . until they are fully warmed through ."
baked-vanilla-pudding-with-hot-raspberries,do not let the mixture boil anymore since that will destroy the structure of the raspberries .
baked-vanilla-pudding-with-hot-raspberries,"to finish , dissolve cornstarch in a bit of water and carefully stir into raspberry sauce until thickened to desire ."
baked-vanilla-pudding-with-hot-raspberries,serve on top of hot or cold vanilla pudding and enjoy .
banana-mango-and-chia-smoothie,peel mango and banana .
banana-mango-and-chia-smoothie,slice mango off the pit and cut banana into chunks .
banana-mango-and-chia-smoothie,"add mango , banana , ice cubes , water , and chia seeds to blender ."
banana-mango-and-chia-smoothie,blend all of the ingredients on high speed for approx . 2 – 3 min . until smooth .
banana-mango-and-chia-smoothie,enjoy straightaway !
black-bean-and-rice-veggie-burritos,finely chop parsley .
black-bean-and-rice-veggie-burritos,add basmati rice and water to a medium saucepan and salt .
black-bean-and-rice-veggie-burritos,"bring to a boil , then reduce heat and let simmer for approx . 20 min . or until rice is done ."
black-bean-and-rice-veggie-burritos,"add lime zest , lime juice and chopped parsley and stir to combine ."
black-bean-and-rice-veggie-burritos,heat oil in a large frying pan .
black-bean-and-rice-veggie-burritos,add vegetarian ground meat and fry for approx . 4 min .
black-bean-and-rice-veggie-burritos,"add soy sauce , red pepper and smoked paprika and stir to combine ."
black-bean-and-rice-veggie-burritos,season with salt and pepper to taste .
black-bean-and-rice-veggie-burritos,drain water from can of black beans and rinse beans under clear water .
black-bean-and-rice-veggie-burritos,"add black beans , mole sauce and salsa picante to a small saucepan ."
black-bean-and-rice-veggie-burritos,stir to combine and heat up for approx . 4 – 5 min .
black-bean-and-rice-veggie-burritos,remove from heat .
black-bean-and-rice-veggie-burritos,pit and slice avocado .
black-bean-and-rice-veggie-burritos,"top each wheat tortilla with lettuce , avocado slices , cilantro , lime rice , bean mixture and fried vegetarian ground meat ."
black-bean-and-rice-veggie-burritos,roll tightly together and serve with red salsa .
black-bean-and-rice-veggie-burritos,enjoy !
blue-cheese-pear-and-rosemary-tart,"in a large bowl , mix the flour , egg yolk , melted butter , cold water , and salt ."
blue-cheese-pear-and-rosemary-tart,"knead dough until solid , cover it with plastic wrap , and let it cool for 20 min . in the fridge ."
blue-cheese-pear-and-rosemary-tart,"in a separate bowl , whisk the egg white until foamy ."
blue-cheese-pear-and-rosemary-tart,"add the blue cheese and cottage cheese , and season with salt and pepper ."
blue-cheese-pear-and-rosemary-tart,let it cool in the fridge for 10 min .
blue-cheese-pear-and-rosemary-tart,"preheat a pan , slice the pears , and let them cook with the sugar , water , and brandy ( optional ) for 10 min . or until golden ."
blue-cheese-pear-and-rosemary-tart,preheat oven to 200 ° c/390 ° f .
blue-cheese-pear-and-rosemary-tart,roll out the tart dough and put it in your pie plate .
blue-cheese-pear-and-rosemary-tart,spread the cheese mixture .
blue-cheese-pear-and-rosemary-tart,arrange the pears and sprinkle with fresh rosemary .
blue-cheese-pear-and-rosemary-tart,bake for about 20 min . or until golden .
blueberry-muffins,preheat oven to 160 ° c/320 ° f .
blueberry-muffins,beat soft butter with sugar in a standing mixer or with a hand mixer until fluffy .
blueberry-muffins,"add eggs , one at a time , and continue beating until well - combined ."
blueberry-muffins,"in one bowl , mix almost all the flour with baking powder and a pinch of salt ."
blueberry-muffins,"next , alternate adding the flour mixture and milk ."
blueberry-muffins,blend into a smooth batter .
blueberry-muffins,"in another bowl , mix blueberries with the rest of the flour ."
blueberry-muffins,this slight coating prevents them from sinking to the bottom during baking .
blueberry-muffins,"now , carefully fold in the blueberries by hand using a rubber spatula or a wooden spoon ."
blueberry-muffins,fill the muffin tins with the batter and bake in a preheated oven at 160 ° c/320 ° f for approx . 20 – 25 min . until golden .
blueberry-muffins,cool in pan on a baking rack for approx . 10 – 15 min .
blueberry-muffins,enjoy warm or leave to cool completely on a wire rack .
boozy-chocolate-and-coffee-iced-lollies,"in a large measuring cup , mix together part of the cream and condensed milk ."
boozy-chocolate-and-coffee-iced-lollies,add one tbsp . of mixture to each popsicle mold .
boozy-chocolate-and-coffee-iced-lollies,place in freezer for at least approx . 20 - 30 min .
boozy-chocolate-and-coffee-iced-lollies,"mix together coffee , baileys , more of the cream , and rest of the condensed milk mixture ."
boozy-chocolate-and-coffee-iced-lollies,"now , fill each popsicle mold almost to the top with baileys mixture ."
boozy-chocolate-and-coffee-iced-lollies,roughly chop chocolate .
boozy-chocolate-and-coffee-iced-lollies,"heat remainder of cream in a small saucepan over low heat , add chocolate , and stir until melted ."
boozy-chocolate-and-coffee-iced-lollies,"now , add chocolate to each popsicle mold ."
boozy-chocolate-and-coffee-iced-lollies,close your popsicle mold and insert popsicle sticks .
boozy-chocolate-and-coffee-iced-lollies,place in freezer for approx . 4 – 6 h.
boozy-chocolate-and-coffee-iced-lollies,remove from freezer and carefully hold popsicle mold under warm water to release popsicles .
boozy-chocolate-and-coffee-iced-lollies,enjoy with a glass of baileys !
breakfast-burrito,finely dice bell pepper .
breakfast-burrito,thinly slice onion into half rings .
breakfast-burrito,finely chop chives .
breakfast-burrito,"using a box grater , roughly grate cheese ."
breakfast-burrito,"in a large bowl , beat together a little bit of tabasco sauce with the eggs ."
breakfast-burrito,heat up butter in a frying pan and sauté onions over medium heat for approx . 1 – 2 minutes .
breakfast-burrito,"then , add the bell pepper and continue to sauté for an additional 2 – 3 min ."
breakfast-burrito,"add eggs to the pan and continue to sauté , stirring occasionally , for approx . 3 – 5 min ."
breakfast-burrito,"then , add the cheese and stir until melted ."
breakfast-burrito,"place some of the eggs in the middle of the tortilla , taking care not to overfill ."
breakfast-burrito,sprinkle some chives on top .
breakfast-burrito,fold tortilla in from the sides .
breakfast-burrito,"then , roll forward from bottom with thumbs until burrito is tightly rolled ."
breakfast-burrito,enjoy !
brownie-cheesecake,preheat oven to 180 ° c/350 ° f .
brownie-cheesecake,"in a small saucepan , melt butter and chocolate over medium - low heat ."
brownie-cheesecake,set aside .
brownie-cheesecake,"in a stand mixer , beat some of the eggs , milk , and part of the sugar ."
brownie-cheesecake,add molten butter and chocolate mixture and beat until well combined .
brownie-cheesecake,add flour and salt and beat until smooth .
brownie-cheesecake,grease a springform pan with some butter and dust with flour if needed .
brownie-cheesecake,add brownie dough and smooth out surface .
brownie-cheesecake,bake in the preheated oven at 180 ° c/350 ° f for approx . 25 min .
brownie-cheesecake,"in the meantime , add cream cheese , remaining sugar , remaining eggs , sour cream and vanilla extract to a large bowl ."
brownie-cheesecake,whisk until smooth .
brownie-cheesecake,remove springform pan from oven and reduce temperature to 160 ° c/320 ° f .
brownie-cheesecake,fill cream cheese mixture into pan and smooth out surface .
brownie-cheesecake,return to oven and bake for approx . 50 – 55 min . until the filling has set .
brownie-cheesecake,remove cake from oven .
brownie-cheesecake,"let cool a little before running a small , sharp knife along the inside edge of the pan ."
brownie-cheesecake,open pan and remove sides .
brownie-cheesecake,"once the cake has cooled , transfer to refrigerator and chill for at least 4 hrs or ideally overnight ."
brownie-cheesecake,beat cream and confectioner 's sugar until stiff .
brownie-cheesecake,spread a thin layer of whipped cream over the cake and serve garnished with fresh raspberries .
caesar-salad,preheat the oven to 180 ° c/350 ° f .
caesar-salad,"for the bread chips , cut the baguette into thin slices and distribute on a lined baking tray ."
caesar-salad,drizzle the slices with olive oil and bake in preheated oven at 180 ° c/350 ° f for approx . 5 - 7 min . until golden .
caesar-salad,"for the dressing , cook an egg in boiling water for approx . 2 - 3 min ."
caesar-salad,gently crack open the egg to remove the egg yolk .
caesar-salad,put the parboiled egg yolk into a tall container .
caesar-salad,finely chop anchovy fillets and garlic .
caesar-salad,"add chopped anchovy fillets and garlic , lemon juice , worcestershire sauce , mustard , white balsamic vinegar , and sugar to the egg yolk and mix with a hand blender ."
caesar-salad,slowly stir the rest of the olive oil into the egg mixture .
caesar-salad,"by doing this , mayonnaise will start to form ."
caesar-salad,season with salt and pepper .
caesar-salad,halve olives and tomatoes .
caesar-salad,dice cucumber .
caesar-salad,wash and dry romaine lettuce hearts and tear into bite - sized pieces .
caesar-salad,"poach 2 eggs in hot , but not boiling , water to the desired degree of hardness ."
caesar-salad,"for a runny center , approx . 3 - 5 min . is recommended ."
caesar-salad,transfer to a paper towel to dry .
caesar-salad,"mix the lettuce , tomatoes , cucumber , and olives with the dressing and transfer to a plate ."
caesar-salad,sprinkle the bread chips on top and serve with a poached egg and parmesan shavings .
carrot-miso-soup,peel and dice carrots .
carrot-miso-soup,"chop onion , garlic , ginger , and chili ."
carrot-miso-soup,"heat the coconut oil in a large saucepan and sauté the onion , garlic , ginger , and chili over medium heat ."
carrot-miso-soup,add the diced carrots to the pan and briefly sauté before adding the vegetable stock and bringing to a boil .
carrot-miso-soup,"reduce heat and leave to simmer for approx . 20 min . , or until the carrots soften slightly ."
carrot-miso-soup,remove the soup from the heat and purée with a hand blender .
carrot-miso-soup,return to heat and add the miso paste and lime juice .
carrot-miso-soup,simmer for 2 min . more .
carrot-miso-soup,"add a dollop of coconut milk to each bowl , garnish with cilantro , and season with salt and pepper ."
carrot-miso-soup,enjoy !
cauliflower-crust-pizza-with-smoked-salmon,preheat oven to 180 ° c/350 ° f .
cauliflower-crust-pizza-with-smoked-salmon,cut cauliflower into small florets .
cauliflower-crust-pizza-with-smoked-salmon,"fill a large saucepan half full with water , bring to a boil , add cauliflower and salt , and cook for approx . 8 – 10 min . until tender ."
cauliflower-crust-pizza-with-smoked-salmon,remove from heat and drain .
cauliflower-crust-pizza-with-smoked-salmon,"now , place cauliflower in a large bowl and puree using a hand masher ."
cauliflower-crust-pizza-with-smoked-salmon,"add grated cheese , egg yolk , chia seeds , oregano , and almond flour to bowl ."
cauliflower-crust-pizza-with-smoked-salmon,season to taste with salt and pepper .
cauliflower-crust-pizza-with-smoked-salmon,mix thoroughly to form into dough .
cauliflower-crust-pizza-with-smoked-salmon,place dough between two sheets of parchment paper and roll out using a rolling pin .
cauliflower-crust-pizza-with-smoked-salmon,"discard top layer of parchment paper , transfer to a baking sheet , and bake in preheated oven at 180 ° c/350 ° f for approx . 15 – 20 min ."
cauliflower-crust-pizza-with-smoked-salmon,spread ricotta evenly over crust .
cauliflower-crust-pizza-with-smoked-salmon,"then , top pizza off with salmon , shrimp , pine nuts , and freshly grated horseradish ."
cauliflower-crust-pizza-with-smoked-salmon,garnish with fresh dill .
chicken-and-bell-pepper-curry-over-rice,slice chicken breasts crosswise .
chicken-and-bell-pepper-curry-over-rice,"mix olive oil , spicy paprika powder , and curry powder in a bowl ."
chicken-and-bell-pepper-curry-over-rice,"add chicken breast slices , toss to coat , and let marinate for approx . 15 min ."
chicken-and-bell-pepper-curry-over-rice,finely slice bell pepper .
chicken-and-bell-pepper-curry-over-rice,add to steam cooking container together with marinated chicken breast and steam at 100 ° c/210 ° f for approx . 12 – 14 min .
chicken-and-bell-pepper-curry-over-rice,add basmati rice and water to another cooking container and steam at 100 ° c/210 ° f for approx . 15 min .
chicken-and-bell-pepper-curry-over-rice,add cream to a small saucepan on medium heat and simmer for approx . 2 min .
chicken-and-bell-pepper-curry-over-rice,season with salt and pepper .
chicken-and-bell-pepper-curry-over-rice,"if desired , thicken with starch ."
chicken-and-bell-pepper-curry-over-rice,stir in crème fraîche and take from heat .
chicken-and-bell-pepper-curry-over-rice,serve chicken and bell pepper with sauce and rice .
chicken-and-bell-pepper-curry-over-rice,enjoy !
chicken-fricassee-with-young-vegetables,quarter mushrooms .
chicken-fricassee-with-young-vegetables,cut carrot and kohlrabi into hazelnut - sized pieces .
chicken-fricassee-with-young-vegetables,finely chop shallot .
chicken-fricassee-with-young-vegetables,cut chicken breasts into bite - sized pieces .
chicken-fricassee-with-young-vegetables,"place mushrooms , chopped shallot , carrot , kohlrabi and chicken breast into a deep frying pan with the bay leaf , allspice , and pepper corns ."
chicken-fricassee-with-young-vegetables,fill up with chicken stock and boil with lid closed for approx . 5 min .
chicken-fricassee-with-young-vegetables,"meanwhile , finely chop parsley ."
chicken-fricassee-with-young-vegetables,drain cooked vegetables and chicken .
chicken-fricassee-with-young-vegetables,save the stock .
chicken-fricassee-with-young-vegetables,pick out the spices .
chicken-fricassee-with-young-vegetables,melt butter in the same pan .
chicken-fricassee-with-young-vegetables,"gradually add the flour and heat for approx 2 min . , stirring continuously ."
chicken-fricassee-with-young-vegetables,"add the stock from step 4 , as well as the heavy cream , to the roux ."
chicken-fricassee-with-young-vegetables,put the vegetables and the chicken back into the pan .
chicken-fricassee-with-young-vegetables,"now , add the peas and bring to a boil ."
chicken-fricassee-with-young-vegetables,"next , stir in the chopped parsley and serve warm with rice ."
chicken-shawarma-sandwich-with-mango-dressing,slice breast chicken into strips .
chicken-shawarma-sandwich-with-mango-dressing,"place garlic powder , cloves , ground coriander , ground turmeric , ground cumin , ground cardamom , cayenne pepper , smoked paprika powder , and salt in a bowl ."
chicken-shawarma-sandwich-with-mango-dressing,stir well .
chicken-shawarma-sandwich-with-mango-dressing,add chicken breast and oil to spice mix and toss together until fully coated .
chicken-shawarma-sandwich-with-mango-dressing,"for best results , place in a resealable freezer bag and let marinate in the fridge for a minimum of approx . 3 hr . or overnight ."
chicken-shawarma-sandwich-with-mango-dressing,preheat oven to 220 ° c/430 ° f .
chicken-shawarma-sandwich-with-mango-dressing,transfer the marinated chicken to a baking sheet and bake for approx . 15 min .
chicken-shawarma-sandwich-with-mango-dressing,"once cooked , remove chicken from the oven and let rest briefly ."
chicken-shawarma-sandwich-with-mango-dressing,"in the meantime , peel mango and chop roughly ."
chicken-shawarma-sandwich-with-mango-dressing,"transfer to a food processor , add tahini and lemon juice , and blend into a smooth paste ."
chicken-shawarma-sandwich-with-mango-dressing,add yogurt and pulse until fully incorporated .
chicken-shawarma-sandwich-with-mango-dressing,set aside .
chicken-shawarma-sandwich-with-mango-dressing,slice flatbread into wedges and toast in a grill pan over medium - high heat .
chicken-shawarma-sandwich-with-mango-dressing,"for the salad , thinly slice the cucumber , tomatoes , red onion , iceberg lettuce , and pickled chilis , if using ."
chicken-shawarma-sandwich-with-mango-dressing,halve olives .
chicken-shawarma-sandwich-with-mango-dressing,"to assemble , spread mango - yogurt sauce onto the lightly toasted flatbread , fill with desired salad ingredients , and chicken strips ."
chicken-shawarma-sandwich-with-mango-dressing,enjoy !
chicken-zucchini-couscous-salad,"allow couscous to stand and cook in boiled water , according to package instructions , and set aside ."
chicken-zucchini-couscous-salad,halve zucchini and cut into sticks .
chicken-zucchini-couscous-salad,finely chop rosemary and halve cherry tomatoes .
chicken-zucchini-couscous-salad,flatten chicken fillets and coat them lightly with some flour and the chopped rosemary .
chicken-zucchini-couscous-salad,toast cashews without oil in a small frying pan for approx . 2 – 3 min . until golden brown .
chicken-zucchini-couscous-salad,heat some olive oil in a frying pan and fry zucchini on all sides for approx . 8 – 10 min . until tender .
chicken-zucchini-couscous-salad,remove from pan and set aside .
chicken-zucchini-couscous-salad,add a little more oil in the same pan and fry chicken in it for approx . 2 – 3 min . per side until golden brown .
chicken-zucchini-couscous-salad,season with salt and pepper and sprinkle with some lemon juice .
chicken-zucchini-couscous-salad,"for the vinaigrette , combine olive oil , vinegar , mustard , honey , and salt and pepper ."
chicken-zucchini-couscous-salad,"in a large bowl , toss couscous with zucchini , tomatoes , arugula , and cashews ."
chicken-zucchini-couscous-salad,dress with vinaigrette and serve with sautéed chicken on top .
cinnamon-chicken-curry,peel and chop mango .
cinnamon-chicken-curry,"finely chop garlic , chili , ginger , and spring onion ."
cinnamon-chicken-curry,cut chicken into small chunks .
cinnamon-chicken-curry,melt some ghee in a pan over medium heat .
cinnamon-chicken-curry,"add sugar and gently stir until caramelized , then deglaze with lime and orange juice ."
cinnamon-chicken-curry,"leave to simmer for approx . 4 min . , until reduced to a tangy sauce ."
cinnamon-chicken-curry,add cinnamon and set aside .
cinnamon-chicken-curry,"in another pan , heat remaining ghee over medium - high heat ."
cinnamon-chicken-curry,"add chicken and fry for approx . 1 min . , until slightly browned ."
cinnamon-chicken-curry,"add mango , garlic , chili , leek , ginger , cardamom , curry powder , and paprika ."
cinnamon-chicken-curry,give it a quick stir .
cinnamon-chicken-curry,"add caramel sauce , then sour cream , and stir to combine ."
cinnamon-chicken-curry,transfer to a plate and garnish with raspberries .
cinnamon-chicken-curry,enjoy !
classic-cheesecake,add gelatin sheets to a bowl with some water .
classic-cheesecake,leave to soak for approx . 8 – 12 min .
classic-cheesecake,place cookies in a freezer bag .
classic-cheesecake,tightly seal bag and crush cookies with a rolling pin .
classic-cheesecake,melt butter in a small pan over medium - low heat .
classic-cheesecake,"transfer cookie crumbs to a large bowl , pour in melted butter , and stir until combined ."
classic-cheesecake,add cookie crumb mixture to a round baking form and press firmly into bottom of baking form .
classic-cheesecake,juice lemon and deseed vanilla bean .
classic-cheesecake,"add lemon juice , vanilla seeds , yogurt , and cream cheese to a large bowl ."
classic-cheesecake,whisk well to combine .
classic-cheesecake,add soaked gelatin with the water and sugar to a small saucepan .
classic-cheesecake,"slowly heat over medium - low heat , stirring until the gelatin has completely dissolved ."
classic-cheesecake,be careful not to overheat .
classic-cheesecake,quickly add gelatin to the cream cheese mixture .
classic-cheesecake,stir well to combine .
classic-cheesecake,pour batter into baking form .
classic-cheesecake,gently tap form on counter to release air bubbles .
classic-cheesecake,transfer to refrigerator and allow to set for approx . 3 hours .
classic-cheesecake,carefully run knife around the edges of the baking form .
classic-cheesecake,remove cake and transfer to a cake platter .
classic-cheesecake,drizzle cake with raspberry sauce .
classic-cheesecake,top with fresh berries and basil .
classic-cheesecake,enjoy with a cup of tea or coffee !
clear-your-mind-smoothie,slice celery stalk and cut banana into chunks .
clear-your-mind-smoothie,pick parsley leaves .
clear-your-mind-smoothie,"add salad , celery , banana , parsley leaves , and cold water to blender ."
clear-your-mind-smoothie,pour in chilled orange juice .
clear-your-mind-smoothie,blend all ingredients until smooth for approx . 2 – 3 min .
clear-your-mind-smoothie,enjoy with ice cubes !
cranberry-oatmeal-muffins,preheat the oven to 200 ° c/400 ° f .
cranberry-oatmeal-muffins,line the muffin tin with liners .
cranberry-oatmeal-muffins,add rolled oats to a food processor and blend until ground .
cranberry-oatmeal-muffins,"chop dried cranberries and add them to a large mixing bowl along with ground rolled oats , baking powder , cinnamon , poppy seeds , and pumpkin seeds ."
cranberry-oatmeal-muffins,peal the bananas and mash them with a fork in a large mixing bowl .
cranberry-oatmeal-muffins,then stir in the almond milk and oil and beat vigorously .
cranberry-oatmeal-muffins,"add the wet ingredients to the dry ingredients and mix until a smooth , light dough has formed ."
cranberry-oatmeal-muffins,distribute the batter between the lined muffin cups evenly .
cranberry-oatmeal-muffins,"top the batter with the remaining oats , poppy seeds , pumpkin seeds , and cranberries .."
cranberry-oatmeal-muffins,bake the muffins for approx . 30 min at 200 ° c/400 ° f .
cranberry-oatmeal-muffins,remove muffins from the oven and leave to cool for approx . 15 min on a cooling rack .
cranberry-oatmeal-muffins,enjoy !
creamy-indian-curry-with-chicken-breast,cook basmati rice in salted boiling water according to the package instructions .
creamy-indian-curry-with-chicken-breast,drain and set aside .
creamy-indian-curry-with-chicken-breast,"chop ginger , finely dice onion and slice pepper into strips ."
